Category Name,Georgian Category Name,Category Sort,Venue Name,Georgian Venue Name,Venue Sort
Habilitation and Rehabilitation Services,,14,Day Care Centers,,1
Habilitation and Rehabilitation Services,,14,Other habilitation and rehabilitation services,,2
